Date,Price - Close,Price - High,Price - Low,Price to Earnings Ratio,Enterprise Value to Sales
10/3/2018,2925.51,2939.86,2921.36,17.11624413,2.481607607
10/4/2018,2901.61,2919.78,2883.92,16.9522174,2.458094183
10/5/2018,2885.57,2909.64,2869.29,16.84851101,2.444140316
10/8/2018,2884.43,2889.45,2862.08,16.82599348,2.439923257
10/9/2018,2880.34,2894.83,2874.27,16.80667886,2.437256441
10/10/2018,2785.68,2874.02,2784.86,16.24979566,2.364822139
10/11/2018,2728.37,2795.14,2710.51,15.90548857,2.325281593
10/12/2018,2767.13,2775.77,2729.44,16.13957348,2.358010928
10/15/2018,2750.79,2775.99,2749.03,16.03119793,2.344483342
10/16/2018,2809.92,2813.46,2766.91,16.38012869,2.388307351
10/17/2018,2809.21,2816.94,2781.81,16.36901519,2.385177029
10/18/2018,2768.78,2806.04,2755.18,16.13163086,2.355032527
10/19/2018,2767.78,2797.77,2760.27,16.12181876,2.354659833
10/22/2018,2755.88,2778.94,2749.22,16.05319882,2.351277057
10/23/2018,2740.69,2753.59,2691.43,15.96398314,2.340333285
10/24/2018,2656.1,2742.59,2651.89,15.47223717,2.277868095
10/25/2018,2705.57,2722.7,2667.84,15.75590373,2.311145261
10/26/2018,2658.69,2692.38,2628.16,15.46595245,2.273889809
10/29/2018,2641.25,2706.85,2603.54,15.34121825,2.25513766
10/30/2018,2682.63,2685.43,2635.34,15.58670726,2.284883633
10/31/2018,2711.74,2736.69,2705.6,15.78157228,2.310421792
11/1/2018,2740.37,2741.67,2708.85,15.9490476,2.321782444
11/2/2018,2723.06,2756.55,2700.44,15.86185855,2.306131575
11/5/2018,2738.31,2744.27,2717.94,15.93092519,2.311372516
11/6/2018,2755.45,2756.82,2737.08,16.02623684,2.324227796
11/7/2018,2813.89,2815.15,2774.13,16.3732585,2.368624712
11/8/2018,2806.83,2814.75,2794.99,16.33835279,2.361799935
11/9/2018,2781.01,2794.1,2764.24,16.20005629,2.342369152
11/12/2018,2726.22,2775.99,2722,15.86355557,2.301021819
11/13/2018,2722.18,2754.6,2714.98,15.84521808,2.295792266
11/14/2018,2701.58,2746.8,2685.75,15.71522858,2.283079582
11/15/2018,2730.2,2735.38,2670.75,15.87863089,2.303090134
11/16/2018,2736.27,2746.75,2712.16,15.92849016,2.309035828
11/19/2018,2690.73,2733.16,2681.09,15.65364943,2.269171214
11/20/2018,2641.89,2669.44,2631.52,15.3766523,2.235966683
11/21/2018,2649.93,2670.73,2649.82,15.41999171,2.241769627
11/23/2018,2632.56,2647.55,2631.09,15.31951621,2.228917861
11/26/2018,2673.45,2674.35,2649.97,15.54383385,2.258478587
11/27/2018,2682.17,2682.53,2655.89,15.58385547,2.253942219
11/28/2018,2743.79,2744,2684.38,15.95292644,2.302856383
11/29/2018,2737.76,2753.75,2722.94,15.91307668,2.299620351
11/30/2018,2760.17,2760.88,2732.76,16.04277792,2.317566482
12/3/2018,2790.37,2800.18,2773.38,16.21516014,2.340394959
12/4/2018,2700.06,2785.93,2697.18,15.68903592,2.277468238
12/6/2018,2695.95,2696.15,2621.53,15.66553987,2.278602214
12/7/2018,2633.08,2708.54,2623.14,15.31406402,2.231896078
12/10/2018,2637.72,2647.51,2583.23,15.34695315,2.241149578
12/11/2018,2636.78,2674.35,2621.3,15.35029189,2.243472828
12/12/2018,2651.07,2685.44,2650.26,15.42915241,2.253639038
12/13/2018,2650.54,2670.19,2637.27,15.43366893,2.254937832
12/14/2018,2599.95,2635.07,2593.84,15.1601594,2.2176135
12/17/2018,2545.94,2601.13,2530.54,14.84173594,2.173629771
12/18/2018,2546.16,2573.99,2528.71,14.86499033,2.176993787
12/19/2018,2506.96,2585.29,2488.96,14.6803171,2.152968017
12/20/2018,2467.42,2509.63,2441.18,14.45585333,2.123110991
12/21/2018,2416.62,2504.41,2408.55,14.15318392,2.085835285
12/24/2018,2351.1,2410.34,2351.1,13.75858038,2.035728998
12/26/2018,2467.7,2467.76,2346.58,14.43874747,2.121178556
12/27/2018,2488.83,2489.1,2397.94,14.53528537,2.135614418
12/28/2018,2485.74,2520.27,2472.89,14.54005947,2.135393335
12/31/2018,2506.85,2509.24,2482.82,14.67831167,2.147127971
1/2/2019,2510.03,2519.49,2467.47,14.69994112,2.153067473
1/3/2019,2447.89,2493.14,2443.96,14.38154724,2.108455672
1/4/2019,2531.94,2538.07,2474.33,14.89759063,2.176883636
1/7/2019,2549.69,2566.16,2524.56,15.02265637,2.192773955
1/8/2019,2574.41,2579.82,2547.56,15.18946221,2.213554383
1/9/2019,2584.96,2595.32,2568.89,15.27680652,2.221529015
1/10/2019,2596.64,2597.82,2562.02,15.34420927,2.230921395
1/11/2019,2596.26,2596.27,2577.4,15.34836766,2.229782706
1/14/2019,2582.61,2589.32,2570.41,15.25566806,2.217271541
1/15/2019,2610.3,2613.08,2585.1,15.42775149,2.237913201
1/16/2019,2616.1,2625.76,2612.68,15.46167724,2.237005772
1/17/2019,2635.96,2645.06,2606.36,15.576544,2.252243088
1/18/2019,2670.71,2675.47,2647.58,15.76769067,2.274369633
1/22/2019,2632.9,2657.88,2617.27,15.54119787,2.245047938
1/23/2019,2638.7,2653.19,2612.86,15.57938443,2.249647226
1/24/2019,2642.33,2647.2,2627.01,15.60570234,2.251879396
1/25/2019,2664.76,2672.38,2657.33,15.73714954,2.266035976
1/28/2019,2643.85,2644.97,2624.06,15.61942879,2.248150578
1/29/2019,2640,2650.93,2631.05,15.60464693,2.245273723
1/30/2019,2681.05,2690.44,2648.34,15.87405034,2.278681979
1/31/2019,2704.1,2708.95,2678.65,16.04610124,2.299090838
2/1/2019,2706.53,2716.66,2696.88,16.06690345,2.298990156
2/4/2019,2724.87,2724.99,2698.75,16.168825,2.313003715
2/5/2019,2737.7,2738.98,2724.03,16.25225611,2.324562874
2/6/2019,2731.61,2738.08,2724.15,16.2192236,2.322393385
